State,Vehicle_Class,Vehicle_Category,Vehicle_Type,Month_Num,Year_Num,Predicted_EV_Sales,Month_Name
Andhra Pradesh,Educational Institution Bus,3-Wheelers,3W_Personal,1,2031,7.66,January
Gujarat,Breakdown Van,2-Wheelers,3W_Goods_Lowspeed,10,2031,121.31,October
Punjab,Fork Lift,3-Wheelers,4W_Personal,10,2032,707.24,October
Chhattisgarh,M-Cycle/Scooter-With Side Car,Others,3W_Shared,2,2027,70.80333333333333,February
Bihar,Omni Bus (Private Use),4-Wheelers,4W_Personal,5,2032,50.7,May
Manipur,Motor Cycle/Scooter-Sidecar(T),Bus,3W_Personal,11,2030,2.895,November
Puducherry,Construction Equipment Vehicle (Commercial),3-Wheelers,4W_Personal,6,2026,9.975,June
Madhya Pradesh,Camper Van / Trailer (Private Use),Bus,3W_Shared,12,2034,151.195,December
Arunachal Pradesh,Mobile Clinic,2-Wheelers,4W_Shared,10,2027,1.14,October
Odisha,Dumper,2-Wheelers,2W_Shared,6,2035,161.72,June
Dnh And Dd,Construction Equipment Vehicle (Commercial),Others,4W_Personal,5,2026,2.6,May
Tripura,Vehicle Fitted With Generator,Bus,3W_Shared_Lowspeed,12,2029,238.525,December
Bihar,X-Ray Van,3-Wheelers,Others,2,2025,268.8625,February
Haryana,Road Roller,4-Wheelers,3W_Goods_Lowspeed,4,2034,158.705,April
Manipur,Dumper,2-Wheelers,Others,10,2035,16.385,October
Tamil Nadu,Fire Tenders,3-Wheelers,3W_Goods_Lowspeed,6,2035,1640.935,June
Goa,Construction Equipment Vehicle (Commercial),2-Wheelers,3W_Goods_Lowspeed,11,2025,18.79,November
Andaman & Nicobar Island,Bus,2-Wheelers,3W_Goods,7,2033,7.94,July
Jharkhand,Recovery Vehicle,4-Wheelers,3W_Goods_Lowspeed,9,2034,28.89,September
Himachal Pradesh,Mobile Canteen,4-Wheelers,3W_Shared_Lowspeed,7,2026,7.7,July
Arunachal Pradesh,Motor Cycle/Scooter-Used For Hire,2-Wheelers,3W_Personal,12,2027,2.46,December
Jammu And Kashmir,M-Cycle/Scooter,2-Wheelers,3W_Goods_Lowspeed,2,2026,35.160000000000004,February
Tripura,Crane Mounted Vehicle,2-Wheelers,3W_Shared_Lowspeed,3,2029,136.55,March
Jammu And Kashmir,Moped,Others,3W_Goods_Lowspeed,12,2028,48.075,December
Andaman & Nicobar Island,Cash Van,Bus,4W_Personal,10,2034,0.94,October
Madhya Pradesh,Bus,2-Wheelers,Institution Bus,11,2032,113.765,November
Delhi,Fire Fighting Vehicle,2-Wheelers,2W_Shared,1,2025,2580.435,January
Jammu And Kashmir,Bus,Bus,4W_Personal,5,2035,14.195,May
Tamil Nadu,E-Rickshaw(P),3-Wheelers,3W_Shared,2,2028,28.065,February
Chandigarh,Crane Mounted Vehicle,Bus,Others,8,2026,0.0,August
Punjab,Three Wheeler (Personal),3-Wheelers,3W_Goods,5,2027,28.79,May
Bihar,Power Tiller,4-Wheelers,Others,1,2025,0.085,January
Chhattisgarh,Trailer (Agricultural),4-Wheelers,2W_Shared,9,2028,59.555,September
Chhattisgarh,Omni Bus,4-Wheelers,3W_Goods_Lowspeed,5,2033,96.125,May
Mizoram,Road Roller,4-Wheelers,4W_Personal,2,2029,1.61,February
Manipur,Quadricycle (Private),Others,2W_Personal,3,2035,3.915,March
Sikkim,Road Roller,Others,Bus,3,2028,0.085,March
Chandigarh,Tow Truck,3-Wheelers,Others,1,2033,33.073214285714286,January
Ladakh,Excavator (Nt),3-Wheelers,4W_Shared,6,2027,45.335,June
Andhra Pradesh,Maxi Cab,2-Wheelers,Institution Bus,6,2035,5.955,June
Andhra Pradesh,Tree Trimming Vehicle,2-Wheelers,4W_Shared,7,2027,16.795,July
Uttarakhand,Library Van,3-Wheelers,2W_Shared,10,2032,651.88,October
Puducherry,Power Tiller (Commercial),3-Wheelers,4W_Shared,10,2033,4.6,October
Ladakh,Construction Equipment Vehicle,4-Wheelers,2W_Shared,12,2025,2.685,December
Maharashtra,Crane Mounted Vehicle,Others,2W_Personal,5,2028,926.925,May
Uttar Pradesh,Articulated Vehicle,4-Wheelers,3W_Goods,6,2029,871.58,June
Andaman & Nicobar Island,Articulated Vehicle,2-Wheelers,3W_Shared,10,2035,7.78,October
Manipur,X-Ray Van,2-Wheelers,3W_Shared,1,2031,3.795,January
Ladakh,Tractor (Commercial),Bus,3W_Personal,8,2025,0.74,August
Jammu And Kashmir,Quadricycle (Commercial),Bus,3W_Personal,12,2034,25.43,December
Jharkhand,Armoured/Specialised Vehicle,Others,2W_Shared,5,2031,40.695,May
Dnh And Dd,Bus,4-Wheelers,4W_Shared,5,2028,16.985,May
Manipur,Dumper,Bus,4W_Personal,8,2028,6.825,August
West Bengal,Luxury Cab,3-Wheelers,3W_Shared,3,2026,842.1525,March
Punjab,Motor Car,2-Wheelers,4W_Personal,8,2032,94.815,August
Puducherry,Semi-Trailer (Commercial),2-Wheelers,4W_Shared,12,2032,6.445,December
Chhattisgarh,Motor Cycle/Scooter-With Trailer,4-Wheelers,Others,9,2029,12.875,September
Odisha,X-Ray Van,2-Wheelers,4W_Shared,3,2030,23.19,March
Punjab,Quadricycle (Private),Others,4W_Shared,7,2035,0.22,July
Himachal Pradesh,Goods Carrier,3-Wheelers,3W_Goods_Lowspeed,9,2030,71.45,September
Bihar,Trailer (Commercial),2-Wheelers,3W_Personal,3,2030,24.95,March
Mizoram,Armoured/Specialised Vehicle,4-Wheelers,Institution Bus,3,2030,0.0,March
Jharkhand,Three Wheeler (Goods),4-Wheelers,3W_Goods,2,2025,31.27672619047619,February
Bihar,X-Ray Van,4-Wheelers,3W_Personal,8,2025,51.48,August
Andaman & Nicobar Island,Private Service Vehicle,Others,3W_Shared,9,2031,4.535,September
Mizoram,Construction Equipment Vehicle,4-Wheelers,3W_Personal,6,2027,4.44,June
Chhattisgarh,Excavator (Commercial),Others,2W_Personal,3,2033,708.97,March
Jharkhand,Harvester,3-Wheelers,3W_Goods,6,2034,598.685,June
Himachal Pradesh,Motor Cycle/Scooter-Sidecar(T),2-Wheelers,3W_Shared_Lowspeed,8,2034,13.235,August
Uttar Pradesh,Private Service Vehicle (Individual Use),2-Wheelers,Institution Bus,6,2029,1096.891,June
Nagaland,Power Tiller (Commercial),2-Wheelers,4W_Shared,12,2035,4.96,December
Haryana,Ambulance,Others,3W_Shared_Lowspeed,8,2035,225.415,August
Tamil Nadu,Road Roller,2-Wheelers,Others,10,2032,49.52,October
Madhya Pradesh,Vehicle Fitted With Rig,Others,Others,4,2032,0.0,April
Puducherry,Armoured/Specialised Vehicle,3-Wheelers,3W_Goods,6,2029,8.015,June
Uttar Pradesh,Fire Tenders,Bus,Others,3,2026,0.0,March
West Bengal,Vehicle Fitted With Rig,Others,Others,11,2031,0.015,November
Delhi,E-Rickshaw(P),3-Wheelers,4W_Shared,7,2027,960.29,July
Andaman & Nicobar Island,Animal Ambulance,4-Wheelers,3W_Goods_Lowspeed,8,2026,5.34,August
Rajasthan,Three Wheeler (Personal),Others,Bus,6,2025,0.0,June
Uttar Pradesh,Agricultural Tractor,3-Wheelers,Others,6,2025,949.565,June
Karnataka,Luxury Cab,3-Wheelers,Others,5,2032,2406.1,May
Himachal Pradesh,Tree Trimming Vehicle,3-Wheelers,Others,8,2034,7.25,August
Ladakh,Three Wheeler (Goods),Bus,3W_Shared,10,2032,177.59,October
Himachal Pradesh,Fire Tenders,3-Wheelers,Bus,4,2027,43.81,April
Assam,Quadricycle (Private),4-Wheelers,3W_Goods,10,2027,23.255,October
Assam,Vehicle Fitted With Rig,Bus,3W_Shared_Lowspeed,3,2033,346.5625,March
Sikkim,X-Ray Van,Bus,4W_Personal,9,2031,1.755,September
Dnh And Dd,Quadricycle (Private),Bus,4W_Shared,10,2028,12.15,October
Goa,Three Wheeler (Personal),4-Wheelers,2W_Personal,4,2030,48.77333333333333,April
West Bengal,Hearses,3-Wheelers,3W_Personal,7,2032,758.935,July
Kerala,Three Wheeler (Personal),3-Wheelers,2W_Shared,9,2027,17.92,September
Sikkim,Auxiliary Trailer,3-Wheelers,4W_Personal,7,2032,231.91,July
Meghalaya,Omni Bus,Others,3W_Shared,6,2034,3.37,June
Punjab,Fork Lift,3-Wheelers,3W_Personal,8,2031,1171.86,August
Ladakh,Tower Wagon,Bus,3W_Goods,6,2025,11.98,June
Maharashtra,M-Cycle/Scooter-With Side Car,4-Wheelers,3W_Shared,11,2029,599.72,November
Gujarat,X-Ray Van,4-Wheelers,3W_Goods,8,2025,303.34,August
Madhya Pradesh,Fire Fighting Vehicle,2-Wheelers,Others,3,2031,1218.996666666667,March
Rajasthan,Cash Van,2-Wheelers,4W_Shared,11,2026,271.635,November
West Bengal,Motor Cycle/Scooter-Used For Hire,2-Wheelers,Bus,11,2032,100.335,November
Mizoram,Three Wheeler (Passenger),3-Wheelers,Others,3,2034,1.415,March
Kerala,Motor Cycle/Scooter-With Trailer,4-Wheelers,4W_Personal,8,2034,766.115,August
Arunachal Pradesh,M-Cycle/Scooter,2-Wheelers,4W_Shared,9,2027,0.185,September
Dnh And Dd,Trailer (Commercial),3-Wheelers,3W_Shared_Lowspeed,12,2031,89.765,December
Nagaland,Bulldozer,Others,3W_Shared_Lowspeed,8,2027,29.325,August
Arunachal Pradesh,Three Wheeler (Goods),4-Wheelers,3W_Shared,12,2027,9.475,December
Arunachal Pradesh,Ambulance,2-Wheelers,3W_Personal,9,2034,9.52,September
Delhi,Fire Tenders,3-Wheelers,4W_Shared,5,2033,970.135,May
Andhra Pradesh,Library Van,3-Wheelers,Institution Bus,1,2035,322.6933333333334,January
Chandigarh,Library Van,Bus,Institution Bus,2,2025,0.0,February
Tamil Nadu,Breakdown Van,4-Wheelers,2W_Shared,6,2031,546.965,June
Rajasthan,Moped,4-Wheelers,3W_Goods,4,2034,233.455,April
Chandigarh,Power Tiller,Others,4W_Personal,12,2030,114.855,December
Andaman & Nicobar Island,Construction Equipment Vehicle (Commercial),4-Wheelers,Institution Bus,6,2035,0.01,June
Nagaland,Ambulance,3-Wheelers,2W_Shared,6,2026,36.415,June
Meghalaya,Adapted Vehicle,Others,3W_Personal,1,2031,8.03445238095238,January
Uttarakhand,Road Roller,3-Wheelers,Bus,6,2027,136.64,June
Assam,Three Wheeler (Goods),4-Wheelers,Institution Bus,10,2028,0.685,October
Odisha,E-Rickshaw(P),Bus,3W_Goods,4,2026,803.2866666666667,April
Jharkhand,Breakdown Van,Others,2W_Shared,10,2034,40.16,October
Puducherry,Earth Moving Equipment,2-Wheelers,2W_Shared,8,2033,158.36,August
Ladakh,Earth Moving Equipment,2-Wheelers,3W_Shared,7,2025,229.375,July
Assam,Articulated Vehicle,2-Wheelers,Institution Bus,2,2029,144.43,February
Odisha,Mobile Workshop,Others,4W_Shared,8,2032,1.675,August
Punjab,M-Cycle/Scooter,Bus,4W_Shared,11,2031,0.26,November
Uttarakhand,X-Ray Van,3-Wheelers,4W_Shared,2,2029,133.56,February
Puducherry,Maxi Cab,4-Wheelers,Institution Bus,11,2034,0.545,November
Arunachal Pradesh,Trailer (Agricultural),3-Wheelers,3W_Personal,1,2034,4.946000000000001,January
Tamil Nadu,Mobile Canteen,4-Wheelers,Institution Bus,3,2027,8.96,March
Nagaland,Armoured/Specialised Vehicle,Others,Institution Bus,5,2029,0.0,May
Tripura,E-Rickshaw With Cart (G),2-Wheelers,Bus,7,2027,88.57,July
Kerala,Agricultural Tractor,4-Wheelers,3W_Shared,7,2028,426.92,July
Tripura,E-Rickshaw(P),3-Wheelers,2W_Shared,5,2029,175.53,May
Mizoram,Harvester,Bus,3W_Goods_Lowspeed,10,2027,11.335,October
Andhra Pradesh,Educational Institution Bus,2-Wheelers,Others,7,2028,237.195,July
Bihar,Construction Equipment Vehicle,Others,Others,12,2032,0.0,December
Karnataka,Armoured/Specialised Vehicle,2-Wheelers,3W_Shared,9,2034,101.735,September
Uttar Pradesh,Motor Car,2-Wheelers,3W_Shared,2,2032,1525.935107142857,February
Gujarat,Motor Car,Bus,Bus,9,2035,0.0,September
Tamil Nadu,Power Tiller,2-Wheelers,4W_Personal,9,2031,287.03,September
Meghalaya,E-Rickshaw(P),2-Wheelers,4W_Personal,12,2029,10.22,December
Andhra Pradesh,Animal Ambulance,4-Wheelers,4W_Personal,3,2027,140.99,March
Uttarakhand,Auxiliary Trailer,4-Wheelers,Bus,5,2035,1.835,May
Dnh And Dd,Omni Bus,2-Wheelers,3W_Goods_Lowspeed,8,2026,0.47,August
Kerala,Mobile Canteen,Others,3W_Goods_Lowspeed,6,2030,433.59,June
West Bengal,Adapted Vehicle,4-Wheelers,3W_Goods_Lowspeed,6,2035,98.075,June
Manipur,Tower Wagon,2-Wheelers,3W_Goods_Lowspeed,11,2030,6.58,November
Ladakh,Hearses,Bus,4W_Personal,3,2031,0.0,March
Puducherry,Bulldozer,4-Wheelers,Bus,1,2029,0.5866666666666667,January
West Bengal,Three Wheeler (Personal),2-Wheelers,2W_Personal,7,2034,26.455,July
Jammu And Kashmir,Breakdown Van,4-Wheelers,2W_Shared,4,2032,12.3525,April
Himachal Pradesh,Tow Truck,2-Wheelers,4W_Shared,9,2028,6.205,September
Assam,Power Tiller,Bus,4W_Personal,9,2035,19.98,September
Delhi,Luxury Cab,Others,3W_Goods,3,2025,1721.295,March
Jammu And Kashmir,Modular Hydraulic Trailer,2-Wheelers,3W_Goods,2,2025,113.58,February
Assam,Quadricycle (Commercial),4-Wheelers,Institution Bus,10,2031,0.685,October
Assam,Tractor-Trolley(Commercial),2-Wheelers,4W_Shared,11,2034,266.795,November
Bihar,Recovery Vehicle,Others,2W_Shared,10,2027,49.155,October
Manipur,Auxiliary Trailer,3-Wheelers,4W_Personal,1,2033,11.711833333333333,January
West Bengal,Modular Hydraulic Trailer,Others,3W_Personal,8,2033,98.89,August
Rajasthan,Harvester,4-Wheelers,4W_Personal,9,2027,413.93,September
Manipur,Modular Hydraulic Trailer,2-Wheelers,Bus,12,2029,7.985,December
Mizoram,Camper Van / Trailer (Private Use),Bus,Others,8,2031,0.0,August
Assam,Private Service Vehicle,Bus,4W_Personal,10,2035,22.56,October
Sikkim,Motorised Cycle (Cc > 25Cc),4-Wheelers,3W_Shared,9,2030,40.345,September
Mizoram,Mobile Canteen,2-Wheelers,4W_Shared,11,2027,0.415,November
Goa,Tree Trimming Vehicle,2-Wheelers,3W_Goods,10,2035,1.035,October
Sikkim,Bus,4-Wheelers,Others,7,2026,0.45,July
Odisha,Road Roller,2-Wheelers,Others,4,2030,28.825,April
Nagaland,Maxi Cab,2-Wheelers,4W_Personal,9,2030,6.04,September
Nagaland,Excavator (Nt),Bus,3W_Goods,11,2031,49.195,November
Madhya Pradesh,Power Tiller (Commercial),3-Wheelers,Others,5,2030,168.91,May
Haryana,Recovery Vehicle,3-Wheelers,4W_Shared,12,2033,94.43,December
Andaman & Nicobar Island,Cash Van,Others,2W_Personal,9,2029,5.135,September
Andaman & Nicobar Island,Motor Cycle/Scooter-With Trailer,2-Wheelers,3W_Personal,1,2031,0.5,January
Odisha,Motor Cycle/Scooter-With Trailer,2-Wheelers,2W_Personal,1,2028,49.462500000000006,January
Rajasthan,Breakdown Van,4-Wheelers,3W_Personal,5,2033,449.235,May
Dnh And Dd,Maxi Cab,3-Wheelers,4W_Personal,9,2030,27.74,September
Andhra Pradesh,M-Cycle/Scooter-With Side Car,2-Wheelers,3W_Goods_Lowspeed,3,2025,0.085,March
Karnataka,M-Cycle/Scooter,3-Wheelers,4W_Shared,11,2030,2077.755,November
Karnataka,Trailer (Commercial),Bus,2W_Shared,3,2028,436.81,March
Puducherry,Tractor-Trolley(Commercial),4-Wheelers,3W_Goods_Lowspeed,11,2031,8.63,November
Arunachal Pradesh,Omni Bus,3-Wheelers,Others,10,2032,8.705,October
Uttar Pradesh,Motor Cycle/Scooter-With Trailer,4-Wheelers,3W_Shared_Lowspeed,7,2026,1611.715,July
Uttar Pradesh,E-Rickshaw(P),3-Wheelers,4W_Shared,5,2035,7728.15,May
Karnataka,Camper Van / Trailer,Bus,Bus,8,2026,55.225,August
Tripura,Modular Hydraulic Trailer,4-Wheelers,Others,6,2030,1.92,June
West Bengal,Tractor (Commercial),Others,3W_Shared,11,2026,205.12,November
Uttarakhand,M-Cycle/Scooter,Bus,3W_Goods_Lowspeed,7,2031,314.11,July
Jammu And Kashmir,Motor Cycle/Scooter-With Trailer,2-Wheelers,Institution Bus,6,2033,112.66,June
Manipur,Adapted Vehicle,Others,2W_Personal,8,2034,8.09,August
Assam,Vehicle Fitted With Generator,Others,4W_Personal,2,2025,16.93,February
Gujarat,Vehicle Fitted With Compressor,2-Wheelers,Institution Bus,5,2031,22.92,May
Jammu And Kashmir,Dumper,Others,3W_Personal,8,2028,16.205,August
Andaman & Nicobar Island,Motor Cycle/Scooter-With Trailer,4-Wheelers,Others,7,2031,8.26,July
Tripura,Bus,3-Wheelers,3W_Shared_Lowspeed,8,2032,175.885,August
Manipur,Bulldozer,Bus,2W_Shared,1,2031,9.218333333333334,January
Sikkim,Crane Mounted Vehicle,Others,3W_Goods,12,2030,253.705,December
Tamil Nadu,Breakdown Van,Bus,3W_Goods,7,2031,385.105,July
Haryana,Vehicle Fitted With Generator,Bus,Bus,1,2033,0.0,January
Bihar,Motor Cycle/Scooter-Used For Hire,Others,4W_Shared,1,2031,0.09,January
Tamil Nadu,Ambulance,Bus,Others,8,2035,0.0,August
Ladakh,Omni Bus (Private Use),Others,2W_Shared,11,2032,11.81,November
Dnh And Dd,Three Wheeler (Passenger),Bus,Bus,2,2030,0.0,February
Assam,Fire Tenders,Bus,3W_Shared,12,2034,1874.51,December
Kerala,Vehicle Fitted With Generator,4-Wheelers,3W_Personal,5,2029,426.535,May
Odisha,Tree Trimming Vehicle,Others,2W_Personal,11,2034,103.65,November
Andaman & Nicobar Island,Modular Hydraulic Trailer,2-Wheelers,3W_Goods,10,2034,0.105,October
Jammu And Kashmir,Mobile Canteen,Others,Others,9,2034,0.0,September
Himachal Pradesh,Mobile Canteen,4-Wheelers,Others,8,2032,0.525,August
Tamil Nadu,Breakdown Van,4-Wheelers,3W_Shared,9,2030,330.875,September
Dnh And Dd,Motor Cycle/Scooter-Sidecar(T),3-Wheelers,4W_Personal,1,2033,30.31469047619047,January
Tamil Nadu,Ambulance,4-Wheelers,3W_Shared_Lowspeed,5,2032,324.79,May
Sikkim,Tractor-Trolley(Commercial),4-Wheelers,4W_Shared,2,2033,0.775,February
Meghalaya,Educational Institution Bus,4-Wheelers,Institution Bus,6,2034,0.0,June
Himachal Pradesh,Omni Bus,Bus,Others,1,2030,12.23,January
Punjab,Motor Cab,Others,Bus,2,2033,0.085,February
Madhya Pradesh,Harvester,Others,Bus,1,2034,16.1325,January
Goa,Earth Moving Equipment,3-Wheelers,Others,12,2027,71.72,December
Uttarakhand,Hearses,4-Wheelers,3W_Shared_Lowspeed,6,2031,383.665,June
Gujarat,Camper Van / Trailer,Others,Institution Bus,12,2032,0.0,December
Arunachal Pradesh,Quadricycle (Commercial),4-Wheelers,3W_Personal,12,2025,6.65,December
Goa,Tractor (Commercial),Bus,Bus,12,2027,0.0,December
Jharkhand,Trailer (Agricultural),3-Wheelers,4W_Shared,5,2027,88.535,May
Nagaland,Mobile Canteen,2-Wheelers,3W_Goods,10,2031,0.0,October
Karnataka,Motor Car,3-Wheelers,Institution Bus,8,2032,173.99,August
Maharashtra,Omni Bus,4-Wheelers,2W_Personal,12,2029,523.01,December
Andaman & Nicobar Island,Tree Trimming Vehicle,2-Wheelers,4W_Shared,8,2025,1.185,August
Punjab,Trailer For Personal Use,4-Wheelers,2W_Personal,5,2028,57.35,May
Odisha,Vehicle Fitted With Rig,Bus,3W_Personal,2,2029,60.56273809523809,February
Madhya Pradesh,Maxi Cab,2-Wheelers,Institution Bus,1,2034,75.48649999999999,January
Punjab,Bus,Bus,Bus,10,2030,0.19,October
Dnh And Dd,Cash Van,Bus,3W_Shared,6,2025,84.93,June
Himachal Pradesh,Private Service Vehicle (Individual Use),3-Wheelers,3W_Shared_Lowspeed,12,2034,19.995,December
Arunachal Pradesh,Three Wheeler (Passenger),4-Wheelers,2W_Shared,2,2030,10.355,February
Madhya Pradesh,Fork Lift,Bus,4W_Personal,5,2029,139.095,May
Tripura,Moped,4-Wheelers,3W_Goods_Lowspeed,11,2026,13.64,November
Andaman & Nicobar Island,M-Cycle/Scooter-With Side Car,2-Wheelers,3W_Shared_Lowspeed,10,2034,1.465,October
Jammu And Kashmir,Omni Bus (Private Use),Bus,3W_Goods_Lowspeed,5,2032,10.775,May
Odisha,Fork Lift,3-Wheelers,3W_Shared_Lowspeed,4,2033,1173.07,April
Jharkhand,Harvester,Others,Bus,7,2026,6.46,July
Uttar Pradesh,Hearses,2-Wheelers,2W_Personal,10,2033,4851.905,October
Jammu And Kashmir,Vehicle Fitted With Compressor,3-Wheelers,Others,7,2034,118.63,July
Kerala,Omni Bus,4-Wheelers,Institution Bus,12,2033,15.12,December
Madhya Pradesh,Tractor-Trolley(Commercial),4-Wheelers,4W_Shared,9,2034,8.14,September
Tamil Nadu,Semi-Trailer (Commercial),Bus,4W_Shared,1,2034,9.79,January
Rajasthan,Educational Institution Bus,Bus,Others,6,2026,0.0,June
Haryana,Tow Truck,Others,3W_Goods_Lowspeed,12,2028,103.915,December
Madhya Pradesh,Construction Equipment Vehicle,2-Wheelers,Institution Bus,12,2026,119.68,December
Goa,Road Roller,2-Wheelers,3W_Shared,10,2035,3.575,October
Manipur,Motor Cycle/Scooter-With Trailer,4-Wheelers,4W_Shared,4,2030,31.515,April
Himachal Pradesh,Semi-Trailer (Commercial),2-Wheelers,3W_Shared_Lowspeed,11,2030,15.3,November
Puducherry,Hearses,3-Wheelers,Institution Bus,11,2030,66.815,November
Meghalaya,Agricultural Tractor,3-Wheelers,3W_Goods_Lowspeed,12,2028,20.51,December
Rajasthan,Trailer (Commercial),3-Wheelers,4W_Personal,11,2028,359.825,November
Arunachal Pradesh,Adapted Vehicle,Others,2W_Shared,8,2025,6.035,August
Odisha,Motor Caravan,Bus,Bus,10,2025,0.085,October
Goa,Power Tiller,3-Wheelers,2W_Personal,7,2033,3.735,July
Karnataka,Maxi Cab,2-Wheelers,3W_Goods_Lowspeed,4,2032,24.72,April
Himachal Pradesh,Ambulance,4-Wheelers,Others,4,2025,0.225,April
Karnataka,Mobile Workshop,2-Wheelers,3W_Goods_Lowspeed,7,2034,113.07,July
Puducherry,Mobile Workshop,Bus,Bus,3,2025,0.085,March
Bihar,Excavator (Nt),Others,3W_Goods,2,2032,1905.3175,February
Gujarat,Power Tiller (Commercial),3-Wheelers,3W_Personal,9,2035,61.6,September
Manipur,Quadricycle (Commercial),2-Wheelers,4W_Personal,4,2034,6.42,April
Odisha,Omni Bus,Others,3W_Goods,11,2033,120.785,November
Delhi,Tractor (Commercial),Bus,3W_Goods,7,2035,310.765,July
Gujarat,Excavator (Nt),2-Wheelers,2W_Personal,4,2025,4833.96,April
Meghalaya,Library Van,Bus,3W_Goods,6,2035,8.775,June
Karnataka,M-Cycle/Scooter-With Side Car,Others,3W_Goods_Lowspeed,1,2029,381.97139285714286,January
Uttar Pradesh,Auxiliary Trailer,Others,2W_Shared,8,2034,993.07,August
Ladakh,Trailer (Agricultural),4-Wheelers,Bus,10,2025,0.675,October
Arunachal Pradesh,Three Wheeler (Goods),2-Wheelers,4W_Personal,2,2026,9.235,February
Uttar Pradesh,Road Roller,2-Wheelers,3W_Goods,12,2025,85.515,December
Sikkim,Power Tiller (Commercial),2-Wheelers,4W_Shared,9,2034,81.855,September
Manipur,Snorked Ladders,Bus,3W_Goods_Lowspeed,2,2027,5.16,February
Tripura,Agricultural Tractor,4-Wheelers,3W_Personal,6,2035,93.54,June
Jharkhand,Modular Hydraulic Trailer,4-Wheelers,3W_Shared_Lowspeed,8,2027,99.435,August
Andaman & Nicobar Island,Three Wheeler (Passenger),Bus,3W_Goods_Lowspeed,9,2027,3.6,September
Uttar Pradesh,Fork Lift,4-Wheelers,2W_Shared,6,2027,4555.252142857143,June
Puducherry,Ambulance,Others,3W_Goods_Lowspeed,5,2029,10.04,May
Meghalaya,Crane Mounted Vehicle,Bus,2W_Personal,5,2034,7.395,May
Ladakh,Vehicle Fitted With Generator,3-Wheelers,2W_Personal,4,2033,28.815,April
Maharashtra,Excavator (Commercial),Bus,2W_Personal,2,2032,3319.9743333333336,February
Haryana,E-Rickshaw(P),Bus,3W_Goods_Lowspeed,7,2031,558.06,July
Andaman & Nicobar Island,Construction Equipment Vehicle,Others,3W_Goods,10,2030,3.955,October
Goa,Vehicle Fitted With Compressor,Bus,3W_Goods,7,2026,42.86,July
Puducherry,Motor Cycle/Scooter-Sidecar(T),4-Wheelers,3W_Shared,5,2033,10.37,May
Andhra Pradesh,Quadricycle (Private),4-Wheelers,3W_Shared,5,2027,111.585,May
West Bengal,Moped,3-Wheelers,3W_Goods,5,2025,10.755,May
Sikkim,Dumper,4-Wheelers,3W_Personal,10,2025,228.515,October
Kerala,Educational Institution Bus,Others,3W_Shared_Lowspeed,11,2033,373.795,November
Andaman & Nicobar Island,Articulated Vehicle,4-Wheelers,2W_Shared,11,2030,4.225,November
Tamil Nadu,Omni Bus,2-Wheelers,Bus,10,2028,52.545,October
Manipur,X-Ray Van,Others,2W_Shared,7,2026,4.01,July
Mizoram,Bus,Others,4W_Personal,1,2028,1.61,January
Uttarakhand,Motor Cycle/Scooter-With Trailer,3-Wheelers,2W_Personal,12,2032,1.5,December
Tripura,Maxi Cab,4-Wheelers,2W_Personal,7,2028,4.265,July
Odisha,Motor Cycle/Scooter-Used For Hire,3-Wheelers,3W_Shared,2,2032,37.44,February
West Bengal,Snorked Ladders,3-Wheelers,3W_Personal,12,2034,60.53,December
Karnataka,Bulldozer,3-Wheelers,3W_Goods_Lowspeed,5,2034,50.83,May
Chhattisgarh,Quadricycle (Commercial),Bus,3W_Goods,10,2028,70.855,October
Manipur,Private Service Vehicle (Individual Use),Others,2W_Personal,8,2035,3.95,August
Andaman & Nicobar Island,Articulated Vehicle,4-Wheelers,Bus,7,2031,0.04,July
Manipur,Quadricycle (Private),3-Wheelers,Institution Bus,2,2028,8.1685,February
Ladakh,E-Rickshaw With Cart (G),3-Wheelers,3W_Goods_Lowspeed,9,2031,5.525,September
Jharkhand,Articulated Vehicle,Bus,Others,2,2026,0.0,February
Uttarakhand,Bulldozer,Others,3W_Personal,6,2027,52.765,June
Meghalaya,Vehicle Fitted With Rig,Others,Institution Bus,7,2033,0.0,July
Puducherry,Three Wheeler (Personal),3-Wheelers,Institution Bus,6,2033,7.47,June
Rajasthan,Quadricycle (Commercial),Others,4W_Personal,10,2028,454.795,October
Jharkhand,Mobile Canteen,4-Wheelers,3W_Shared_Lowspeed,8,2028,71.1,August
Sikkim,Mobile Workshop,4-Wheelers,3W_Personal,1,2032,30.38808333333333,January
Andhra Pradesh,Armoured/Specialised Vehicle,2-Wheelers,3W_Goods,10,2032,21.04,October
Madhya Pradesh,Trailer (Agricultural),Bus,3W_Goods_Lowspeed,10,2027,75.94,October
Manipur,Dumper,Bus,3W_Shared,9,2029,12.315,September
Madhya Pradesh,Motor Cycle/Scooter-With Trailer,2-Wheelers,Others,7,2034,175.185,July
Chhattisgarh,Recovery Vehicle,4-Wheelers,4W_Personal,5,2032,149.675,May
Tamil Nadu,Bulldozer,3-Wheelers,2W_Personal,6,2025,423.125,June
Goa,Semi-Trailer (Commercial),Bus,Institution Bus,11,2028,2.2,November
Manipur,Private Service Vehicle (Individual Use),4-Wheelers,Bus,5,2030,13.585,May
Uttarakhand,Fire Fighting Vehicle,3-Wheelers,3W_Goods_Lowspeed,11,2032,666.565,November
Gujarat,Power Tiller,4-Wheelers,Others,8,2026,3.155,August
